request_id,status,error,e2e_s,ttft_s,mean_itl_s,completion_tokens,concurrency
8000026,ok,,2.6781426118686795,0.13278240570798516,0.02051720322830783,128,8
8000027,ok,,2.677251998335123,0.13219784433022141,0.020521577917069437,128,8
8000028,ok,,2.6748971277847886,0.13124036975204945,0.021553380391165868,128,8
8000029,ok,,2.676767225842923,0.1304765660315752,0.020526780852026517,128,8
8000030,ok,,2.677868169732392,0.12847008695825934,0.0205546920150218,128,8
8000031,ok,,2.6748814079910517,0.1284928279928863,0.0205244661624273,128,8
8000032,ok,,2.684798340778798,0.14152557402849197,0.021549592836428495,128,8
8000033,ok,,2.687176311388612,0.1577078253030777,0.020382228281138646,128,8
8000034,ok,,2.6836028951220214,0.15770292421802878,0.020367952176339684,128,8
8000035,ok,,2.684126147069037,0.15554033499211073,0.0212290743013703,128,8
8000036,ok,,2.685615953989327,0.15627972781658173,0.020371423647438568,128,8
8000037,ok,,2.7164583979174495,0.1581020262092352,0.020628994837733765,128,8
8000038,ok,,2.682117118034512,0.1540904580615461,0.020376937219782943,128,8
8000039,ok,,2.679775658994913,0.15152579825371504,0.02054376020361253,128,8
8000040,ok,,2.6963176098652184,0.15417902916669846,0.020493531749854164,128,8
8000041,ok,,2.6983342580497265,0.1702394881285727,0.020377737781663817,128,8
8000042,ok,,2.700070505961776,0.1687822020612657,0.020410375339129278,128,8
8000043,ok,,2.6974022248759866,0.16876853303983808,0.020379545767941782,128,8
8000044,ok,,2.6960348091088235,0.16805062908679247,0.02037887238792234,128,8
8000045,ok,,2.6932244170457125,0.16685968404635787,0.020372034933027482,128,8
8000046,ok,,2.6954684858210385,0.16753144701942801,0.020372410500121695,128,8
8000047,ok,,2.698206037748605,0.13783630775287747,0.020813826251987036,128,8
8000048,ok,,2.683904565870762,0.14129424281418324,0.020499802340993717,128,8
8000049,ok,,2.688160734716803,0.15662349993363023,0.020393545912098018,128,8
8000050,ok,,2.6855190531350672,0.15368925733491778,0.020730114374004426,128,8
8000051,ok,,2.6833214326761663,0.15309209376573563,0.020395147775660358,128,8
8000052,ok,,2.683362103998661,0.15203463984653354,0.020389078064791618,128,8
8000053,ok,,2.683400404173881,0.15298767387866974,0.020560214829790157,128,8
8000054,ok,,2.678344831801951,0.15059240302070975,0.02038275666775242,128,8
8000055,ok,,2.6827473007142544,0.1223320011049509,0.02064611030472142,128,8
8000056,ok,,2.6902024429291487,0.1493365876376629,0.020488573009178283,128,8
8000057,ok,,2.693857149221003,0.16675757430493832,0.020368047651924914,128,8
8000058,ok,,2.690197282936424,0.16395395109429955,0.020365669579815962,128,8
8000059,ok,,2.6920377709902823,0.16445787390694022,0.02036882031543721,128,8
8000060,ok,,2.691457877866924,0.16327710775658488,0.020379329235443184,128,8
8000061,ok,,2.690283903852105,0.16257014591246843,0.020374935582250116,128,8
8000062,ok,,2.688919877167791,0.16076398734003305,0.02054228320172647,128,8
8000063,ok,,2.665999087970704,0.1336257397197187,0.020419949323930327,128,8
16000000,ok,,2.9125087270513177,0.18396022776141763,0.021984374905455736,128,16
16000001,ok,,2.8840116229839623,0.17504615895450115,0.022557767709561933,128,16
