request_id,status,error,e2e_s,ttft_s,mean_itl_s,completion_tokens,concurrency
64000058,ok,,11.746637464966625,8.916932332795113,0.02279966525102575,128,64
64000059,ok,,11.740359146613628,8.917403534986079,0.022915662713045997,128,64
64000060,ok,,11.737264924217016,8.914768673013896,0.022743011374146707,128,64
64000061,ok,,11.738521819002926,8.912583264056593,0.02275741675628289,128,64
64000062,ok,,11.73386990930885,8.911962621379644,0.022736041900521566,128,64
64000063,ok,,11.735632015857846,8.909279218874872,0.02276017958854115,128,64
64000064,ok,,11.63956968812272,8.850089881103486,0.022493025532082444,128,64
64000065,ok,,11.6493526911363,8.918054317124188,0.022007262450642884,128,64
64000066,ok,,11.6462032366544,8.916648939717561,0.02199480207937379,128,64
64000067,ok,,11.644541160669178,8.915449105668813,0.021991095685910796,128,64
64000068,ok,,11.642697021830827,8.91377681773156,0.021989504228376092,128,64
64000069,ok,,11.668017821852118,8.83578488882631,0.022796745877712965,128,64
64000070,ok,,11.658541570883244,8.832358404062688,0.02278930020158089,128,64
64000071,ok,,11.663760063238442,8.835757409222424,0.022802893402836016,128,64
64000072,ok,,11.66930383676663,8.834841624833643,0.02301374175850817,128,64
64000073,ok,,11.664448036812246,8.83394506201148,0.022794676918326127,128,64
64000074,ok,,11.659030112903565,8.833098547998816,0.022787206881349126,128,64
64000075,ok,,11.660786159802228,8.833453978877515,0.02278839656332087,128,64
64000076,ok,,11.660625339951366,8.830825787968934,0.02280683955553198,128,64
64000077,ok,,11.664167145267129,8.831465770956129,0.02283635113253108,128,64
64000078,ok,,11.658481600228697,8.830378545913845,0.022805224623410933,128,64
64000079,ok,,11.659793836064637,8.828290377277881,0.022791117061710647,128,64
64000080,ok,,11.668996245600283,8.882251830771565,0.02246921678869835,128,64
64000081,ok,,11.677142570726573,8.946621918585151,0.02236552174645858,128,64
64000082,ok,,11.673149182926863,8.942986052948982,0.021997955150812144,128,64
64000083,ok,,11.675828824751079,8.9435965558514,0.022030615942522643,128,64
64000084,ok,,11.670671733096242,8.941471247002482,0.021989063911830947,128,64
64000085,ok,,11.697248358279467,8.865114696323872,0.022984505040434804,128,64
64000086,ok,,11.693224390037358,8.866420682054013,0.02277693135528675,128,64
64000087,ok,,11.691100541036576,8.86585061904043,0.022762912502061698,128,64
64000088,ok,,11.68608291912824,8.861730950884521,0.02277437941126165,128,64
64000089,ok,,11.690045285969973,8.860075203701854,0.022803577515597064,128,64
64000090,ok,,11.68469510274008,8.86314389668405,0.022752156897988773,128,64
64000091,ok,,11.689467943739146,8.858955168630928,0.022802389936611777,128,64
64000092,ok,,11.692211655899882,8.858754108659923,0.022847454968629586,128,64
64000093,ok,,11.686114998999983,8.858188146259636,0.022783686538347073,128,64
64000094,ok,,11.686693452298641,8.856837530154735,0.022775012958464364,128,64
64000095,ok,,11.687571966089308,8.85388377821073,0.02279060165352759,128,64
64000096,ok,,11.699441746808589,8.919619021937251,0.022408438944107583,128,64
64000097,ok,,11.696818194817752,8.97978159179911,0.02190890573641105,128,64
64000098,ok,,11.69996510911733,8.978484027087688,0.021923234911575433,128,64
64000099,ok,,11.697566288057715,8.977372381836176,0.0219348129373224,128,64
64000100,ok,,11.699073605239391,8.977379442192614,0.022278168982994118,128,64
64000101,ok,,11.703346233349293,8.895552537404,0.02260544705354879,128,64
64000102,ok,,11.696380713023245,8.891950512304902,0.022613947095739984,128,64
64000103,ok,,11.703449293971062,8.891524709761143,0.02260820263801443,128,64
64000104,ok,,11.695338749326766,8.889884313102812,0.02280628840567741,128,64
64000105,ok,,11.697368106804788,8.888823887798935,0.022647314017728692,128,64
64000106,ok,,11.700100549031049,8.88777090376243,0.022665597152926268,128,64
64000107,ok,,11.697316527366638,8.889751322101802,0.022624644878951293,128,64
64000108,ok,,11.692991808056831,8.88911276916042,0.02259312878032365,128,64
64000109,ok,,11.693400209769607,8.885555224027485,0.022811222007513288,128,64
64000110,ok,,11.690523547120392,8.88415541825816,0.02260423180527024,128,64
64000111,ok,,11.690590207930654,8.88142407592386,0.02261428814381361,128,64
64000112,ok,,11.695494438055903,8.921724940184504,0.022358605258857772,128,64
64000113,ok,,11.703898054081947,8.977300580125302,0.02195747134711353,128,64
64000114,ok,,11.70095801120624,8.974031175952405,0.02195448633058057,128,64
